,title,author,dept,year,advisor,abstract
193,Evolutionary Development of the Mammalian Pre-Sternum,"Yozgyur, Zeynep",Biological Sciences,2019,,"The mammalian sternum has undergone a reduction in relative size and complexity over evolutionary time. This transformation was highly variable across species, generating multiple, controversial interpretations. Some authors claim that the evolutionary reduction led to loss of presternal elements, while others believe that all, or some, presternal elements were fused into a structure ambiguously referred to as the ""manubrium"", a term adopted from the post-interclavicular unit of pre-mammalian ancestors. Previous work on the Paramylodon harlani presternum revealed a composite presternum and identified three elements - mediocranial, mediocaudal and lateral - each with a different developmental origin and marginal articulation. This project used medical and micro CT scans to determine if these elements are conserved across species and if there is a characteristic histology associated with each. All three elements were identified in humans based on their locations and articulations. Their fusion during ontogeny was documented. Elements could not be associated with a characteristic histology. Instead, histology appears to reflect the mechanical forces to which different regions of the presternum are subjected, whatever their developmental origin. This opens the possibility that the presternum can be used to infer the limb use and locomotor style of extinct taxa. These lines of evidence indicate that the reduction of relative sternal size seen over evolutionary time has not led to element loss. Instead, three conserved elements with unique developmental origins and articulations are present in a composite presternum. Further, this reasoning suggests that the use of the term ""manubrium"" should be abandoned as ambiguous and instead when referring to specific areas on the presternum the terms interclavicle, sternal bands, and lateral elements should be used."
194,"""Nobody—I Myself"": The Feminine Self in Shakespearean Tragedy and Romance","Zhang, Ruixi",English,2019,,
195,Smile: The Feminist Vision of Jean Rhys,"Roberts, Margaret",English,2019,"Rodensky, Lisa",
196,Why She Didn't Just Leave: The Effect of Nuisance Ordinances on Domestic Violence,"Moss, Emily",Economics,2019,"Shastry, Gauri Kartini","Municipalities throughout the country have adopted nuisance ordinances to recruit landlords in assisting with crime control. Nuisance ordinances are municipality-level policies that sanction landlords if police are frequently called to respond to a landlord's tenants. To avoid a fine, landlords must abate tenants whose conduct was considered a nuisance under the municipality's ordinance; most often, this abatement process involves evicting the tenant. Little research has evaluated the impact of nuisance ordinances on innocent tenants - particularly, female victims of domestic violence. Because domestic violence is seldom excluded from the list of nuisance activities considered under the ordinances, legal advocates have warned that the threat of eviction associated with nuisance ordinances could discourage domestic violence victims from reporting their abuse to the police. This thesis contributes the first econometric analysis of the effect of nuisance ordinances on domestic violence reporting and incidence. The variation in nuisance ordinance enactment across municipalities and over time provides the framework to identify the causal effect of nuisance ordinances on domestic violence using a difference-in-differences strategy. I find that nuisance ordinance enactment leads to a 16.5-23.2 percent reduction in domestic violence-related 911 calls for assistance and a 0.4-0.7 percentage point increase in self-reported domestic violence incidence in California. Nationwide, I also find nuisance ordinance enactment is associated with a statistically significant increase in online search activity related to domestic violence as a proxy for domestic violence incidence. These results suggest that nuisance ordinances have the unintended consequence of discouraging domestic violence victims from reporting their abuse, thereby allowing the incidence of domestic violence to persist."
197,Towards understanding the variability between rates of biological productivity in the Beaufort Gyre of the Arctic Ocean,"Ji, Brenda Y",Biological Sciences,2018,,"Oceans account for more than 25% of anthropogenic CO2 removal from the atmosphere. Changes in our global climate have affected the Arctic Ocean in particular, resulting in increasing rates of warming and record-low sea ice extent, which for example, in the summer of 2012, was only half of the average over the previous three decades. It is unclear how these changes in the Arctic Ocean may affect biological productivity, which is one of the main drivers of the oceanic carbon cycle as CO2is consumed through photosynthesis and released through respiration. In order to investigate how these changes may influence the efficacy of the Arctic Ocean as a carbon sink, we calculated the gross oxygen production (GOP), which is the rate of total photosynthesis, and the net community production (NCP), which is the rate of photosynthesis minus community respiration and thus represents the strength of the carbon sink. The chemical gas tracers, triple oxygen isotopes and O2/Ar ratios, as measured in samples from the surface waters of the Beaufort Gyre region of the Canada Basin, were used to quantify gross oxygen production and net community production, respectively, in late summer and early fall over six years (2011-2016). We examined the effects of location, ice cover, chlorophyll-a, season, and more to better understand the collective impact of these physical conditions on biological productivity rates. Over these six years, mean GOP rates ranged from 9.1 ± 1 mmol O2 m⁻² d⁻¹ to 40 ± 4 mmol O2 m⁻²d⁻¹ and mean NCP rates ranged from 1.1 ± 0.2 mmol O2 m⁻² d⁻¹ to 2.5 ± 0.2 mmol O2 m⁻² d⁻¹. Analyzing inter-annual variations in these rates can enlighten our understanding of how dramatic changes in the global climate may impact the ability of this region in the Arctic Ocean to remove carbon dioxide from the atmosphere."
198,The Influence of Deep Convection on Biologically Driven Carbon Sequestration in the Irminger Sea,"Wanzer, Lucy",Geosciences,2019,,"The North Atlantic plays a key role in sequestering anthropogenic carbon. The biological carbon pump is one of the mechanisms by which carbon is sequestered in the ocean. Phytoplankton photosynthesize at the sea surface, and fix carbon dioxide into organic carbon, a fraction of which sinks to the deep ocean. For sinking carbon to be stored long-term (time scales > 1 year), it must sink deeper than the winter ventilation depth before being respired. This study focuses on how deep winter ventilation (convective mixing to depths > 1000 m) in the Irminger Sea influences the sequestration of carbon via the biological pump. We analyze a four-year continuous time series (September 2014 to June 2018) of temperature, salinity, dissolved oxygen, optical backscatter, and chlorophyll fluorescence depth profiles from 200 to 2,600 meters from the Apex Profiler Mooring at the Ocean Observatories Initiative (OOI) Global Irminger Sea Array (60.0°N, 39.5°W). Temperature, salinity, and dissolved oxygen data are used to identify the depth and timing of winter mixing. Using dissolved oxygen as a tracer for respiration of sinking organic matter, optical backscatter as a tracer of particulate organic matter, and chlorophyll as an indicator of surface-derived photosynthetic material, the amount of sinking organic carbon ventilated back to the atmosphere in winter, as well as the carbon that escapes below the winter ventilation depth, is evaluated. We present data collected during a research cruise to the Irminger Sea in June 2018, where we collected discrete samples to calibrate sensors on the OOI Apex Profiler Mooring, and determined variability in the depth of winter mixing across the Irminger basin (59.6° - 64.2° N and 21.9° - 41.4° W) using 20 depth profiles of temperature, salinity, and dissolved oxygen from CTD casts. Evidence of deep winter convection was found throughout the basin, though there is variability in the maximum depth of convection, ranging from 1100 to 1500 meters. Using the 2014-2018 time series of data collected by the profiler mooring, we found strong interannual variability in both winter ventilation depths and respiration rates from the in the Irminger Sea, with winter ventilation depths ranging from 800 to 1,150 meters over the four year time period, and depth-integrated respiration rates within the seasonally-ventilated thermocline ranging from 3.62 to 7.66 mol O2 m⁻². We find the highest respiration rates in the upper thermocline which contribute the majority of the carbon that is released back into the atmosphere during mixing. We also find that winter ventilation depth influences how much carbon is ventilated into the atmosphere during winter mixing. This study shows the importance of year-round observations in order to better understand how deep convection influences carbon sequestration by the biological pump."
199,Rethinking Pelvic Morphological Variation and Its Relation to Parturition Status,"Navickas, Kelly",Anthropology,2019,"Van Arsdale, Adam
Minor, Elizabeth",
200,The Medieval Slut: Sexual Identities of Medieval Women in the Patriarchal Narratives of the Decameron and Canterbury Tales,"Rea, Rosalynd",Medieval and Renaissance Studies,2019,"Whitaker, Cord","""Slut"" is not inherently a ""bad word."" ""Slut"" is, however, a great label; it labels one's sense of promiscuity and autonomy as an aspect of sexual identity. This label, used extensively in modern sexual politics, is anachronistic, yet describes much of the behavior of the women of late medieval literature. Thus the medieval slut's sexual identity focuses on the proliferation of sex and sexuality that seems shameful within her patriarchal narrative, and yet says something truly powerful about who she is in addition to her sexuality. This study examines the stories of specific medieval sluts in order to destabilize traditional readings of the Decameron and Canterbury Tales in favor of a more accurate display of women's desire. A reading in the style of the medieval slut reinforces the ethical framework with which the sluts are already working in order to demonstrate the power that comes from the reclaimed term ""slut."""
201,"Misiones educativas en España y México: pedagogía, colonización y adoctrinamiento en la construcción de la nación moderna","Simon, Julia",Spanish,2019,"Ramos, Carlos",
202,"Managing the Nazi Legacy: Contradictory Reconstruction Policies in US-Occupied Germany, 1945-1952","Speyer Besancon, Rachel",Political Science,2019,,"This thesis seeks to identify the circumstances in the postwar United States that allowed American foreign policymakers to pursue contradictory denazification programs in occupied Germany. On May 8, 1945, Germany transformed from a sovereign state to an occupied territory. The United States and its Allies were tasked with administering the agreed upon plans for occupation in Germany, predominantly focused on denazification and reconstruction. In the American zone, the Occupying Military Government's plans for denazification and reconstruction affected segments of the population very differently. While low-ranking public officials were banned from public service due to their ties to the Nazi regime, powerful industrialists and governmental leaders were gradually welcomed back into positions of responsibility with the government. How did the US government justify its inconsistent enforcement of the Nazi purge and what enabled them to pursue these policies? I argue that the unsettled narrative landscape of postwar America made such contradictions tenable in a chaotic political climate. Through a cultural study of American popular media from 1939-1950, I identify the three dominant narratives of ""the German"" in the US during this time and show how each of these narratives were used to legitimate different reconstruction policies in US-occupied Germany."
203,Reading Mythology in Ocean Vuong's Night Sky With Exit Wounds through Just Memory,"Tran, Havannah",English,2019,"Lee, Yoon Sun
Gonzalez, Octavio R.","In his debut poetry collection, Night Sky with Exit Wounds, queer Vietnamese-American refugee poet Ocean Vuong claims his work is ""an attempt to navigate history through a rewriting or rather, a recasting, of history into a mythology, much in the tradition of our poetic forebears, like Homer, Dante, Milton."" In this myth-making, closely related to memory and the constitution of empire, I read Vuong's collection through scholar and novelist Viet Thanh Nguyen's ""just memory"", a way of memorialization that seeks to give voice to all people involved in conflict, examines the conditions in which war memory is produced, and explains how memory is in service of creating the identity of a nation. I look at the poems ""Telemachus"", ""In Newport I Watch My Father Lay His Cheek to a Beached Dolphin's Wet Back"", ""My Father Writes From Prison"", and ""To My Father / To My Future Son"" as they constitute the mythology of the father, a figure who creates memories of war that Vuong has no access to. I use this framework in relation to its original intent, as a way of configuring national identity through war memory, but also in understanding a queer mythology Vuong puts forth, one that also questions the American identity as a heteronormative ideal. I turn to the poems ""Of Thee I Sing"", ""Seventh Circle of Earth"", ""Because It's Summer"", ""On Earth We're Briefly Gorgeous"", and ""Devotion"" in understanding this queer mythology. What proceeds is a broad understanding of Vuong's poetry, in its attempt to give voice to the voiceless and critique the identity/identities of the United States."
204,The Scientist and American Cinema: Trends and Case Studies,"Wardlow, Ciara",Cinema and Media Studies,2019,"Knouf, N. Adriana","This thesis explores historical trends in the depiction of scientists in popular film from 1931 to present, emphasizing how both scientific developments and current events influence the characterization of movie scientists and how these popular depictions of scientists can, in turn, have real-world influence. In addition to giving a historical overview of these trends, this thesis examines case studies looking specifically at the evolving relationship between space science and cinema, the representation of historical scientists in biographical films, and the evolution of scientist characters in two scientist-starring short stories, ""Who Goes There?"" and ""The Fly,"" and their respective film adaptations and subsequent remakes."
205,An Unbiased Variance Estimator of a K-sample U-statistic with Application to AUC in Binary Classification,"Guo, Alexandria",Mathematics,2019,"Wang, Qing","Many questions in research can be rephrased as binary classification tasks, to find simple yes-or-no answers. For example, does a patient have a tumor? Should this email be classified as spam? For classifiers trained to answer these queries, area under the ROC (receiver operating characteristic) curve (AUC) is a popular metric for assessing the performance of a binary classification method, where a larger AUC score indicates an overall better binary classifier. However, due to sampling variation, the model with the largest AUC score for a given data set is not necessarily the optimal model. Thus, it is important to evaluate the variance of AUC. We first recognize that AUC can be estimated unbiasedly in the form of a two-sample U-statistic. We then propose a new method, an unbiased variance estimator of a general $K$-sample U-statistic, and apply it to evaluate the variance of AUC. We suggest choosing the most parsimonious model whose AUC score is within 1 standard error of the maximum AUC. The developed procedure improves model selection algorithms that weigh complexity and performance. To realize the proposed unbiased variance estimator of AUC, we propose to use a partition resampling scheme that yields high computational efficiency. We conduct simulation studies to investigate the performance of the developed method in comparison to bootstrap and jackknife variance estimators. The simulations suggest that the proposal yields comparable or even better results in terms of bias and mean squared error. In addition, it has significantly improved computational efficiency compared to its resampling-based counterparts. Moreover, we also discuss the generalization of the devised method to estimating the variance of a general $K$-sample U-statistic (K >= 2), which has broad applications in practice."
206,"Cultural Vibrations: Measuring the Dominant Creative Class in Times of Conflict: West Jerusalem 2014 to 2016, A Case Study","Neustein, Ellie",Political Science,2018,"Hajj, Nadya
Logvinenko, Igor","When walking in Jerusalem one cannot help but notice the presence of political and religious street art. Slogans, portraits of political and religious figures, ironic political statements, and religious symbols are spray painted, hung, or plastered in public view. At first glance the city seems to be peppered with political expression originating from authentic roots of civil society- the artisan social commentators. However, upon reflection, one comes to notice that much of the paint is chipped, and the political commentary is no longer relevant to contemporary issues. It is puzzling that a population having just achieved renewed dominant status in a military operation (Operation Protective Edge, 2014), simultaneously experiences a decline in private political-cultural participation, specifically through street art. This study measures the fluctuations in street art in Jerusalem going back, before summer 2014 to capture the decline in street art during military operations. This study finds that decline in creative class public expression is linked primarily to intervening institutions working to stimulate culture in Jerusalem. We attribute part of this observed cultural lull to such institutions stopping to stimulate culture, specifically, during military operations."
207,Sliding on a Massive Spinning Asteroid: Order and Chaos,"Peltz Smalley, Hannah",Physics,2018,"Berg, Robbie
Lindner, John","In 2017 an interstellar visitor, 'Oumuamua, was discovered by Robert Weryk at Haleakala Observatory, Hawai'i. Analysis of 'Oumuamua's light curve suggests it has a highly elongated shape. The dynamics of such irregularly shaped objects cannot be modeled with simple approximations; while Newton's sphere theorem allows us to model the gravitational dynamics of spherically symmetric objects as point masses, a spherical approximation is insufficient to describe the interactions of highly elliptical objects like 'Oumuamua -- and even Earth, which is not a true sphere but rather an oblate spheroid. Fortunately, there exist closed-form expressions for the gravitational potential of a spheroid. For this project, I use Mathematica to solve systems of nonlinear differential equations to model the motion of an object sliding on such a spheroid. Under certain conditions, the path of the slider becomes highly sensitive to initial conditions. This sensitivity manifests as chaos, which is apparent both qualitatively and quantitatively."
208,"Troubled Waters: China's and Russia's Naval Modernizations Programs, and the Causes of Offensive Naval Arms Race","Qin, Heng",Political Science,2018,"Goddard, Stacie
MacDonald, Paul K.","Scholars, policymakers and the public alike have debated the revisionist or status quo intentions of China and Russia using metrics such as territorial and economic expansionism. However, few have tried to explain why the two states' arms policies may or may not signal intentions. This thesis project makes the point that structural factors, not intentions, drive offensive arms races. Using open-source databases and congressional hearing transcripts, I focus on Russia's and China's maritime push outwards through naval technological investments, as well as the structural factors, including offense-defense balance and near-peer competition, that surround these buildups. By showcasing the inherent military and strategic values of the contested maritime space, I argue that technological and geographical factors favor conquest and strategic offensives in territorial competition. This offense dominance compels states to pursue offensive naval buildups, regardless of intentions. Therefore, in an effort to avoid the rational offensive arms race, state leaders should seek to alter the offense-dominant environment at play, as opposed to feeding into the downward spiral that is otherwise known as security dilemma."
209,Planet Candidate Validation in K2 Crowded Fields,"Rampalli, Rayna",Astrophysics,2018,,"The discovery of planets outside of our own solar system has captured the imagination of scientists and the public alike. In just the past decade, more than 3000 planets have been discovered with the groundbreaking NASA telescope missions Kepler and its successor, K2. In just three years, the K2 mission has yielded some remarkable results, with the discovery of over 300 confirmed planets and 480 reported planet candidates to be validated. The K2 mission detects planets by recording any periodic dimming in stars; this dimming often indicates that a planet is in orbit around the star, blocking a portion of its light. A major challenge with the analysis of these data is to identify planets in star-crowded regions, where individual camera pixels overlap multiple stars. In this thesis, I developed, tested, and evaluated a validation process for ruling out false-positive detections of planets in K2 observations of star-crowded regions. Using Markov chain Monte Carlo analysis, I fitted a model to obtain the transit parameters for each candidate planetary system. Later, I used seeing-limited on/off imaging to rule out false positives due to nearby transiting binary star systems. These results were then evaluated using a software program called validation of exoplanet signals using a probabilistic algorithm (VESPA) to estimate the probability of a false-positive detection. Such techniques and results are important tools for conducting candidate validation and follow-up observations for space-based missions, including the upcoming Transiting Exoplanet Survey Satellite (TESS) mission, since its large camera pixels resemble K2 star-crowded fields."
210,"""The Power of Art to Break Despair"": The Impact of the Kohleausstieg on the German Imagination","Schnitzer, Anne",German Studies,2018,"Hans, Anjeana
DeSombre, Elizabeth",
211,"Sin, Impurity, and Community in Leviticus 16","Steens, Kathelijne",Religion,2018,"Silver, Edward","The Book of Leviticus contains a considerable amount of material pertaining to sin, covering a great variety of types of behaviour that incur sin, methods for atonement, punishments, and ritual context for sin offerings. This thesis considers the nature of sin and its function in society, as depicted in Leviticus 16, by means of comparing several different theological and anthropological models regarding sin and impurity, in combination with a close reading of the Hebrew. The image of sin and impurity that emerges includes a dual system of ritual and moral impurity, which in part could well be used to establish a social structure and hierarchy, and is in Leviticus 16 put in service of promoting the role of the High Priest as the mediator between God and the Israelites, and the only one capable of maintaining and fixing that relationship in the face of sin and impurity."
212,Suggested Blocks: Using Neural Networks To Aid Novice Programmers In App Inventor,"Svanberg, Maja Susanna",Computer Science,2018,"Turbak, Franklyn","MIT App Inventor is a programming environment in which users build Android applications by connecting blocks together. Because its main audience is beginner programmers, it is important that users are given the proper guidance and instruction to successfully become creators. In order to offer this help, App Inventor provides text-based tutorials that describe the workflow of example programs to users. However, studies have shown that out-of-context help such as tutorials has little to no effect on learning, and when given the choice, users prefer in-context hints and suggestions. In order for users to overcome some of the barriers with self-training, we need to provide them with relevant information and in-context suggestions. Therefore, I am introducing Suggested Blocks, a data-driven model that leverages machine learning to provide users with relevant suggestions of which blocks to include in their programs. In this project, I focused on developing the neural networks to power a suggested blocks system. Using original apps from real App Inventor users, I developed a set of experiments to discover plausible vector representations of the data, including tree traversals, n-grams, tree structures, as well as different network architectures to generate the best possible block suggestions for the users. The objective is not only to be accurate, but to provide suggestions that are sensible, relevant, and most importantly, educational. When simulating the best model on reconstructing an original project from a novice user, suggesting only 10 blocks at a time, the user would be able to drag-and-drop 60% of her blocks straight form the Suggested Blocks drawer. Overall, the results show promise for a future implementation of a Suggested Blocks system."
213,The Future of Futurism: From Noise Intoners to Noise Taction,"Tosca, Diana",Music,2018,"Johnson, Jenny
Shaer, Orit","In the early 20th century, Italian Futurists became interested in expanding the definition of music to include sounds previously considered non-musical--sounds often described as 'noise.' The intonarumori (noise intoners) was a family of instruments created by the Futurist artist Luigi Russolo, which allows for the player to control the pitch and sound of the these noises. This thesis gives background on the history of Futurism and its relationship to music, analyzes noise in a Futurist context, and describes the recreation of the intonarumori, dubbed the tattorumori (noise tactions), using new interactive surface technology unavailable to Russolo. The significance of this instrument with regards to both the Futurist movement and music history is that it challenges the established idea of what music is and embodies the ideas of modernity; the intonarumori bridges the gap between sound and music. The reimagining of the instrument explores the vision of Futurism in context the present, using Russolo's instrument as a blueprint with the technology of a century later."
214,The Unclouded Realm,"Najjab, Elena
Meeker, Ilana",Cinema and Media Studies,2018,"Olsen, David","For our thesis film, we explored how differences in form and expression can act as a window into understanding another person, place, and time's ideology, and thus, reality. Moving from the external to the internal, our film is divided into three acts that investigate the impact of ethereal, material, and individual ideology respectively. These acts are further divided into a series of vignettes. Our film changes medium forms between-and sometimes within-each vignette, using live action, hand-drawn animation, stop-motion animation, 3D animation, claymation, and motion graphics."
215,A Self-Serving Justice,"Thibodeau, Simone",Philosophy,2014,"de Bres, Helena",
216,Deformable Mirror Demonstration Mission,"Gubner, Jennifer",Physics,2018,"Battat, James
Cahoy, Kerri","The Deformable Mirror Demonstration Mission (DeMi) is a 6U cube satellite mission created to demonstrate the use of adaptive optics (AO), specifically a 140 actuator Microelectromechanical systems (MEMS) deformable mirror (DM), in space. While AO has been commonly used on ground based telescopes, it has many useful benefits in space. AO can be a critical difference in reaching the necessary contrast, of 1010, to image Earth-like exoplanets. It allows for corrections of optical imperfections and thermal distortions. These correction capabilities also allow launches of cheaper optics, and have further implications for use with inter-satellite laser communication and high energy applications. DeMi will use a closed-loop adaptive optics system, that incorporates a Shack- Hartmann wavefront sensor (SHWFS), DM, and CMOS cameras, in multiple mission operations to demonstrate the capabilities of this adaptive optics technique. DeMi will launch in to a low-Earth orbit in mid 2019. During its lifetime, DeMi will complete both internal and external observations. The internal observations will use a laser to characterize the DM and test the wavefront correction. The external observations will demonstrate the wavefront correction on stars."
217,Ornamentation in Selected Antiphons and Responsories from Hildegard's Vision of Music in Scivias,"Nave, Keelin Berit",Music,2014,"Fontijn, Claire",
218,Evaluating Anecdotal Lyme Disease Treatments for Borrelia-inhibitory Properties,"Kerns, Sarah",Biological Chemistry,2019,"Roden, Julie
D'Onofrio, Anthony","Lyme disease is the fastest growing vector-borne illness in the United States. Its causative factors, are the spirochetal bacteriumBorrelia burgdorferi and its close relatives. Infection in humans hard to treat, and long term, or chronic, illness follows initial Borrelia infection approximately 20% of the time. Many sufferers turn to non-traditional methods of treatment. This study sought to identify and test natural products for anti-borrelial qualities, using anecdotal success as an initial filter. Thirty-five herbal Lyme disease treatments were so identified. Extracts from these materials were made using three solvents, and tested against Borrelia burgdorferi. Anecdotal success proved to be an effective filter for Borrelia inhibition, allowing us to identify several extracts which inhibited its growth, and also several growth enhancers, each of which should be further investigated as relevant to understanding and treating Borrelia infections in humans."
219,A Theory of Intellectual Property for Software,"Kim, Stacey",Philosophy,2019,"Matthes, Erich Hatala",
220,"Keeping an Open Mind: The Transcendence of Boundaries in ""Kubla Khan,"" ""Mont Blanc,"" and ""Ode to Psyche""","Pyeon, Rebecca",English,2019,"Hickey, Alison","The three poems of interest in this thesis- Samuel Taylor Coleridge's ""Kubla Khan,"" Percy Bysshe Shelley's ""Mont Blanc,"" and John Keats's ""Ode to Psyche""-complicate relationships between the poet, his internal world, and his external world. This is accomplished in all three poems through the conjuring up of a physical region, which establishes an awareness of spatial relations between the poet and the space in which he dwells. I explore how the poems' speakers position themselves and other entities relative to these outside features in ways that enable a more vivid expression of the nonexistence of distinct divisions. Through the exploration of ambiguous boundaries in the relationships that the speaker holds with the external world, we consider the reach of poetry beyond the physical and temporal limitations of the poem's space and towards new worlds."
221,Smash the Old World to Pieces: Cultural Destruction as a Strategy of Political Revolution in the Islamic State,"Nandakumar, Maya K.",Political Science,2019,"Goddard, Stacie",
222,The House of Flesh,"Owen, Grace",Media Arts and Sciences,2019,"Knouf, N. Adriana",
223,A Theoretical and Experimental Analysis of Dual Halide Treatment in Lead Sulﬁde Quantum Dot Solar Cells,"Yoon, Dasol","Physics
Computer Science",2019,,"Lead sulfide (PbS) quantum dot (QD) solar cells are emerging thin film solar cells that are solution processible at low temperatures, potentially on lightweight and flexible substrates at a low cost. Despite this prospect, PbS QD solar cells remain far from commercialization due to their low power conversion efficiency compared to other types of solar cell. This thesis explores the development of a novel surface passivation protocol to raise the open circuit voltage of PbS QD solar cells and thereby improve the power conversion efficiency. The protocol implements a novel solution phase ligand exchange method that involves two kinds of halide salts. The impacts of these salts on PbS QD solar cell performance and optical properties are studied through a comparison of a control process---that involves only one kind of halide salt---to the proposed process---that utilizes dual halide treatment. Particularly, open circuit voltage is both experimentally measured and theoretically calculated to assess the potential of the proposed treatment. In both cases, devices made with the novel dual halide treatment show improved open circuit voltage compared to the devices made with the control process. This improvement presents the potential for multiple halide treatment in better surface passivation. Moreover, theoretical results being in good agreement with the observed results suggests the viability of theoretical performance analysis using optical measurements in surface passivation studies."
224,Investigating Genomic Regulatory Elements in Adipocytes via Computational Analysis,"Bejar, Andrea",Biological Sciences,2019,"Beers, Melissa
Tsai, Linus","Obesity prevalence has more than doubled since the 1980s. One possible consequence of obesity is insulin resistance (IR), a condition underlying type 2 diabetes mellitus (T2DM). So far, genome wide association studies (GWAS) have attributed 18% of heritable risk for T2DM to genetic variants, but one shortcoming of GWAS is knowing which genes are affected by identified variants. This study aimed to confront this weakness and investigate how epigenetic regulation affects metabolic phenotype. Three histone marks (H3K27ac, H3K4me1, H3K4me3) were targeted by chromatin immunoprecipitation for in vivo samples collected from human subcutaneous adipocytes and metabolically-relevant tissue samples curated from the ENCODE database. We developed the Extremity analysis method to identify enhancers and promoters enriched in histone ChIP-Seq data. Additionally, a full suite of well-established bioinformatics methods were employed, including differential enrichment analysis (DEA) and motif enrichment analysis (MEA), and existing obesity related GWAS were incorporated. Close correlation was found between Extremity and DEA, MEA provided enriched motifs that bind known adipogenic TFs, and the GWAS showed variants in T2DM and WHRadjBMI overlapping H3K4me3 have less heritability in adipocytes than the other two marks. This study provides a new method and potential targets for further understanding epigenetic variation and its effect on metabolic phenotype."
225,Beyond the Gates,"Chin, Michelle",English,2019,"Cezair-Thompson, Margaret","Beyond the Gates recounts the story of a twelve-year-old girl who, in the face of bullying and familial economic crisis, runs away and ends up living with a homeless woman in an abandoned church."
226,Acylated Sulfa Drugs: A Phthesis on the Synthesis of Acylated Sulfa Compounds in Connection with Antitubercular Drug Design,"Pugh, Catherine",Chemistry,2019,"Hearn, Michael J.","Tuberculosis (TB) is an infectious disease caused by the organism Mycobacterium tuberculosis (MTB). Improved sanitation and successful chemotherapy have largely eliminated TB in industrialized countries, but it remains a serious threat to lower socio-economic classes, the immunocompromised population, and developing countries where industrialization is just taking hold. Although two new drugs have surfaced in the last decade, they are largely reserved for compassionate cases because of the severity of their side effects. The first-line TB treatment prescribed by the World Health Organization and the Center for Disease Control and Prevention remains the comparatively small number of drugs synthesized or isolated in the 1950's and 1960's. These drugs, while currently effective, can cause adverse side effects such as liver toxicity. Additionally, the emergence of strains of drug-resistant TB threatens to completely undermine existing treatment regimens and enable TB to reach a level of prevalence not experienced for the past century. In the past decade, studies have suggested intriguing antitubercular possibilities offered by applying modern methods to a very early class of drugs: the sulfa drugs. Sulfa drugs work by mimicking the natural molecule para-aminobenzoic acid, inhibiting dihydropteroate synthase (DHPS) and resulting in cell death. Arylamine N-acetyltransferases (NATs) de-activate sulfa drugs inside the body by catalyzing the transfer of an acetyl group onto position N⁴ of the sulfa molecule. NATs also appear in M. tuberculosis, where they act as a defense mechanism for MTB against chemotherapy. My work in the Hearn lab has been guided by recent crystallographic images of the DHPS binding pocket and the deactivating mechanism of NATs, as well as by previous studies in our lab that demonstrated that acylation can improve activity and bioavailability while reducing toxicity. Our work began with the development of a reliable protocol to prepare the acetylated NAT metabolites. We then explored a number of different procedures for increasing acyl chain length at N⁴, focusing on derivatives of sulfamethazine; and then continued to selective di-acylation at both N⁴ and N¹, varying both chain length and steric bulk for a number of different sulfa drug scaffolds. Several of our acylated sulfa derivatives possess improved biological and anti-tubercular properties over their parent drugs. Moreover, the compounds serve as probes of the structural factors influencing biological activity such as fit within DHPS, resistance to the de-activating effects of NATs, and permeability."
227,Formation of O2 From CO2 Ice Photolysis,"Buffo, Christina",Chemical Physics,2019,"Arumainayagam, Chris
Öberg, Karin","The recent Rosetta and Giotto missions to comets have detected the presence of a surprisingly large amount of O2 within cometary comae. Most comet formation models suggest that comet compositions preserve conditions in the early solar system, so one possible origin of this diatomic oxygen is formation within ice layers on small dust particles in space before or during solar system formation. One common ice component is carbon dioxide, and this thesis focuses on O2 formation from UV photolysis of CO2 ices. Viewed in the context of the evolution of related molecules, CO and O3, we examine O2 production as a function of UV photon fluence and ice temperature. We report that the ideal conditions for O2 production are a large photon fluence and ice temperatures in the range of 20-25 K, which are reasonable conditions for the interstellar medium. In light of these findings, we propose that interstellar regions with significant CO2 ice could partially explain the large abundance of O2 in comets."
228,Reimagining local education systems in Sri Lanka through Design Anthropology,"Thennakoon, Kavindya",Anthropology,2019,"Armstrong, Justin","My research project is focused on exploring how design anthropology could be used as a tool to reimagine local education systems in Sri Lanka. The project culminated from fieldwork in Sri Lanka that focused on testing a five-hour long design session with a diverse group of researchers and educators. This was followed by a visual ethnography component that followed three local educators from the village of Wanathawilluwa. Through these ethnographic findings and field observations, I argue that design anthropology presents a unique toolbox for collaborative, participatory, solutions-driven forms of community engagement that aim to radically reimagine everyday structures of power."
229,Tick Check and Other Stories,"Beyette, Marissa",English,2019,"Sides, Marilyn",
